trip_id,service_type,distance_km,duree_h,traction,type_train,nom_operateur,pays_origine,pays_destination,trajet_domestique,frequence_semaine
OCESN12107F1187_F:OUI:FR:Line::4F3E7D7E-1FEF-4DB7-A210-473D950E2F37::87113001:87212027:2:2040:20261211,Jour,395.5,1.75,,TGV inOui,SNCF,FR,FR,True,3
OCESN12108F1187_F:OUI:FR:Line::4F3E7D7E-1FEF-4DB7-A210-473D950E2F37::87212027:87113001:2:1635:20261210,Jour,395.5,1.75,,TGV inOui,SNCF,FR,FR,True,4
OCESN12108F1187_F:OUI:FR:Line::4F3E7D7E-1FEF-4DB7-A210-473D950E2F37::87212027:87113001:2:1635:20261125,Jour,395.5,1.75,,TGV inOui,SNCF,FR,FR,True,1
OCESN12109F1187_F:OUI:FR:Line::4F3E7D7E-1FEF-4DB7-A210-473D950E2F37::87113001:87212027:2:2008:20261210,Jour,395.5,1.75,,TGV inOui,SNCF,FR,FR,True,2
OCESN12111F1187_F:OUI:FR:Line::4F3E7D7E-1FEF-4DB7-A210-473D950E2F37::87113001:87212027:3:1440:20261101,Jour,395.5,1.9,,TGV inOui,SNCF,FR,FR,True,2
OCESN12111F1187_F:OUI:FR:Line::4F3E7D7E-1FEF-4DB7-A210-473D950E2F37::87113001:87212027:3:1440:20261122,Jour,395.5,1.9,,TGV inOui,SNCF,FR,FR,True,1
OCESN12111F1187_F:OUI:FR:Line::4F3E7D7E-1FEF-4DB7-A210-473D950E2F37::87113001:87212027:3:1505:20261210,Jour,395.5,1.88,,TGV inOui,SNCF,FR,FR,True,2
OCESN12111F1187_F:OUI:FR:Line::4F3E7D7E-1FEF-4DB7-A210-473D950E2F37::87113001:87212027:2:1440:20261211,Jour,395.5,1.77,,TGV inOui,SNCF,FR,FR,True,2
OCESN12111F1187_F:OUI:FR:Line::4F3E7D7E-1FEF-4DB7-A210-473D950E2F37::87113001:87212027:3:1440:20261206,Jour,395.5,1.9,,TGV inOui,SNCF,FR,FR,True,1
OCESN12113F1187_F:OUI:FR:Line::4F3E7D7E-1FEF-4DB7-A210-473D950E2F37::87113001:87212027:4:959:20261211,Jour,395.5,2.02,,TGV inOui,SNCF,FR,FR,True,2
OCESN12113F1187_F:OUI:FR:Line::4F3E7D7E-1FEF-4DB7-A210-473D950E2F37::87113001:87212027:4:948:20261206,Jour,395.5,2.02,,TGV inOui,SNCF,FR,FR,True,2
